rank,country_code,country_name,rider_name,rider_link,wins,seasons_active,first_win,last_win,is_champion,is_active_2025,row_index
48,VEN,Venezuela,Johnny Cecotto,https://en.wikipedia.org/wiki/Johnny_Cecotto,3,1976–1980,1977 500cc Finnish Grand Prix,1978 500cc Dutch TT,True,False,53
48,AUS,Australia,Daryl Beattie,https://en.wikipedia.org/wiki/Daryl_Beattie,3,1992–1997,1993 500cc German Grand Prix,1995 500cc German Grand Prix,False,False,54
48,JPN,Japan,Norifumi Abe,https://en.wikipedia.org/wiki/Norifumi_Abe,3,1994–2004,1996 500cc Japanese Grand Prix,2000 500cc Japanese Grand Prix,False,False,55
48,AUS,Australia,Garry McCoy,https://en.wikipedia.org/wiki/Garry_McCoy,3,1998–20042006,2000 500cc South African Grand Prix,2000 500cc Valencian Grand Prix,False,False,56
48,USA,United States,Nicky Hayden,https://en.wikipedia.org/wiki/Nicky_Hayden,3,2003–2016,2005 MotoGP United States Grand Prix,2006 MotoGP United States Grand Prix,True,False,57
48,UK,United Kingdom,Cal Crutchlow,https://en.wikipedia.org/wiki/Cal_Crutchlow,3,2011–2022,2016 MotoGP Czech Republic Grand Prix,2018 MotoGP Argentine Grand Prix,False,False,58
48,ITA,Italy,Franco Morbidelli,https://en.wikipedia.org/wiki/Franco_Morbidelli,3,2018–,2020 MotoGP San Marino Grand Prix,2020 MotoGP Valencian Grand Prix,True,True,59
48,ESP,Spain,Aleix Espargaró,https://en.wikipedia.org/wiki/Aleix_Espargar%C3%B3,3,2009–20102012–2024,2022 MotoGP Argentine Grand Prix,2023 MotoGP Catalan Grand Prix,False,False,60
61,ITA,Italy,Nello Pagani,https://en.wikipedia.org/wiki/Nello_Pagani,2,1949–1955,1949 500cc Dutch TT,1949 500cc Nations Grand Prix,True,False,61
61,UK,United Kingdom,Fergus Anderson,https://en.wikipedia.org/wiki/Fergus_Anderson,2,19511953–1954,1951 500cc Swiss Grand Prix,1953 500cc Spanish Grand Prix,True,False,62
61,SRA,Southern Rhodesia,Ray Amm,https://en.wikipedia.org/wiki/Ray_Amm,2,1951–1954,1953 500cc Isle of Man TT,1954 500cc Isle of Man TT,False,False,63
61,RAN,Rhodesia,Jim Redman,https://en.wikipedia.org/wiki/Jim_Redman,2,1959–19601966,1966 500cc West German Grand Prix,1966 500cc Dutch TT,True,False,64
61,FIN,Finland,Jarno Saarinen,https://en.wikipedia.org/wiki/Jarno_Saarinen,2,1973,1973 500cc French Grand Prix,1973 500cc Austrian Grand Prix,True,False,65
61,ITA,Italy,Virginio Ferrari,https://en.wikipedia.org/wiki/Virginio_Ferrari,2,1976–1985,1978 500cc German Grand Prix,1979 500cc Dutch TT,False,False,66
61,NED,Netherlands,Jack Middelburg,https://en.wikipedia.org/wiki/Jack_Middelburg,2,1977–1983,1980 500cc Dutch TT,1981 500cc British Grand Prix,False,False,67
61,ESP,Spain,Carlos Checa,https://en.wikipedia.org/wiki/Carlos_Checa,2,1995–20072010,1996 500cc Catalan Grand Prix,1998 500cc Madrid Grand Prix,False,False,68
61,JPN,Japan,Makoto Tamada,https://en.wikipedia.org/wiki/Makoto_Tamada,2,2003–2007,2004 MotoGP Rio de Janeiro Grand Prix,2004 MotoGP Japanese Grand Prix,False,False,69
61,ITA,Italy,Danilo Petrucci,https://en.wikipedia.org/wiki/Danilo_Petrucci,2,2012–2023,2019 MotoGP Italian Grand Prix,2020 MotoGP French Grand Prix,False,False,70
61,ZAF,South Africa,Brad Binder,https://en.wikipedia.org/wiki/Brad_Binder,2,2020–,2020 MotoGP Czech Republic Grand Prix,2021 MotoGP Austrian Grand Prix,True,True,71
